,image,score
0,2,100.000%
1,MixarMap_6-23,24.172%
2,MixarMap_30-30,0.043%
3,MixarMap_29-32,0.039%
4,MixarMap_7-18,0.037%
5,MixarMap_21-24,0.034%
6,MixarMap_7-6,0.006%
7,MixarMap_5-11,-0.000%
8,MixarMap_4-12,-0.000%
9,MixarMap_11-5,-0.000%
10,MixarMap_22-27,-0.000%
11,MixarMap_5-17,-0.000%
12,MixarMap_3-9,-0.000%
13,MixarMap_9-4,-0.000%
14,MixarMap_19-27,-0.000%
15,MixarMap_5-12,-0.000%
16,MixarMap_7-14,-0.000%
17,MixarMap_7-24,-0.000%
18,MixarMap_5-13,-0.000%
19,MixarMap_11-4,-0.000%
20,MixarMap_18-27,-0.000%
21,MixarMap_6-20,-0.000%
22,MixarMap_7-25,-0.000%
23,MixarMap_32-32,-0.000%
24,MixarMap_15-24,-0.000%
25,MixarMap_15-23,-0.000%
26,MixarMap_4-11,-0.000%
27,MixarMap_6-21,-0.000%
28,MixarMap_20-27,-0.000%
29,MixarMap_12-23,-0.000%
30,MixarMap_19-28,-0.000%
31,MixarMap_9-3,-0.000%
32,MixarMap_4-10,-0.000%
33,MixarMap_18-26,-0.000%
34,MixarMap_21-26,-0.000%
35,MixarMap_16-26,-0.000%
36,MixarMap_7-7,-0.000%
37,MixarMap_3-11,-0.000%
38,MixarMap_17-28,-0.000%
39,MixarMap_22-26,-0.000%
40,MixarMap_6-13,-0.000%
41,MixarMap_22-24,-0.000%
42,MixarMap_13-25,-0.000%
43,MixarMap_7-15,-0.000%
44,MixarMap_18-24,-0.000%
45,MixarMap_5-16,-0.000%
46,MixarMap_19-25,-0.000%
47,MixarMap_26-28,-0.000%
48,MixarMap_10-5,-0.000%
49,MixarMap_7-8,-0.000%
50,MixarMap_28-28,-0.000%
51,MixarMap_8-25,-0.000%
52,MixarMap_24-25,-0.000%
53,MixarMap_6-10,-0.000%
54,MixarMap_32-30,-0.000%
55,MixarMap_18-25,-0.000%
56,MixarMap_8-6,-0.000%
57,MixarMap_5-22,-0.000%
58,MixarMap_32-34,-0.000%
59,MixarMap_20-26,-0.000%
60,MixarMap_20-25,-0.000%
61,MixarMap_29-30,-0.000%
62,MixarMap_30-33,-0.000%
63,MixarMap_28-29,-0.000%
64,MixarMap_15-26,-0.000%
65,MixarMap_5-15,-0.000%
66,MixarMap_26-27,-0.000%
67,MixarMap_6-16,-0.000%
68,MixarMap_2-7,-0.000%
69,MixarMap_5-14,-0.000%
70,MixarMap_27-29,-0.000%
71,MixarMap_9-6,-0.000%
72,MixarMap_9-23,-0.000%
73,MixarMap_24-26,-0.000%
74,MixarMap_23-24,-0.000%
75,MixarMap_22-25,-0.000%
76,MixarMap_13-23,-0.000%
77,MixarMap_25-25,-0.000%
78,MixarMap_6-14,-0.000%
79,MixarMap_16-25,-0.000%
80,MixarMap_26-25,-0.000%
81,MixarMap_6-11,-0.000%
82,MixarMap_27-25,-0.000%
83,MixarMap_23-25,-0.000%
84,MixarMap_33-33,-0.000%
85,MixarMap_28-31,-0.000%
86,MixarMap_27-26,-0.000%
87,MixarMap_8-14,-0.000%
88,MixarMap_21-25,-0.000%
