image,score
MixarMap_5-11,28.211%
MixarMap_6-11,24.027%
MixarMap_6-12,2.746%
MixarMap_5-12,2.266%
MixarMap_30-30,0.417%
MixarMap_5-7,0.343%
MixarMap_9-5,0.294%
MixarMap_10-6,0.280%
MixarMap_8-21,0.269%
MixarMap_7-13,0.237%
MixarMap_4-11,0.182%
MixarMap_17-28,0.176%
MixarMap_17-26,0.173%
MixarMap_3-8,0.158%
MixarMap_31-34,0.149%
MixarMap_6-18,0.113%
MixarMap_30-32,0.112%
MixarMap_10-24,0.105%
MixarMap_25-24,0.092%
MixarMap_6-24,0.088%
MixarMap_31-31,0.087%
MixarMap_18-24,0.086%
MixarMap_10-7,0.086%
MixarMap_13-23,0.084%
MixarMap_6-7,0.082%
MixarMap_26-24,0.079%
MixarMap_34-31,0.075%
MixarMap_23-25,0.057%
MixarMap_12-24,0.054%
MixarMap_10-4,0.050%
MixarMap_5-10,0.041%
MixarMap_16-25,0.041%
MixarMap_7-8,0.040%
MixarMap_6-10,0.036%
MixarMap_10-23,0.035%
MixarMap_2-9,0.033%
MixarMap_7-6,0.033%
MixarMap_26-26,0.029%
MixarMap_5-8,0.028%
MixarMap_27-24,0.027%
MixarMap_9-2,0.022%
MixarMap_8-25,0.021%
MixarMap_13-24,0.017%
MixarMap_28-30,0.017%
MixarMap_22-25,0.015%
MixarMap_14-24,0.013%
MixarMap_17-24,0.012%
MixarMap_19-24,0.011%
MixarMap_8-14,0.010%
MixarMap_3-10,0.010%
MixarMap_32-32,-0.000%
MixarMap_9-7,-0.000%
MixarMap_7-7,-0.000%
MixarMap_5-16,-0.000%
MixarMap_7-15,-0.000%
MixarMap_30-33,-0.000%
MixarMap_15-23,-0.000%
MixarMap_28-28,-0.000%
MixarMap_19-27,-0.000%
MixarMap_2-8,-0.000%
MixarMap_33-33,-0.000%
MixarMap_28-31,-0.000%
MixarMap_22-24,-0.000%
MixarMap_26-28,-0.000%
MixarMap_18-25,-0.000%
MixarMap_6-23,-0.000%
MixarMap_26-27,-0.000%
MixarMap_5-14,-0.000%
MixarMap_14-23,-0.000%
MixarMap_16-27,-0.000%
MixarMap_19-28,-0.000%
MixarMap_9-23,-0.000%
